760000,2015-11-16 00:00:00Z,N1C 4BR,Flats/Maisonettes,New Build,Leasehold,"PLIMSOLL BUILDING, 1",APARTMENT F9-04,HANDYSIDE STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5374360000,-0.1273720000
1265000,2015-11-27 00:00:00Z,N1C 4BP,Flats/Maisonettes,New Build,Leasehold,"PLIMSOLL BUILDING, 1",APARTMENT S4-02,HANDYSIDE STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5374360000,-0.1273720000
1165000,2015-12-17 00:00:00Z,N1C 4BP,Flats/Maisonettes,New Build,Leasehold,"PLIMSOLL BUILDING, 1",APARTMENT S10-01,HANDYSIDE STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5374360000,-0.1273720000
915000,2015-11-30 00:00:00Z,N1C 4BQ,Flats/Maisonettes,New Build,Leasehold,"PLIMSOLL BUILDING, 1",APARTMENT F4-09,HANDYSIDE STREET,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5374360000,-0.1273720000
500000,2015-11-27 00:00:00Z,N1C 4TB,Other,Established,Leasehold,26,,PANCRAS ROAD,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5310540000,-0.1246780000
950000,2015-11-30 00:00:00Z,N1C 4BQ,Flats/Maisonettes,New Build,Leasehold,"PLIMSOLL BUILDING, 1",APARTMENT F4-04,HANDYSIDE STREET,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5374360000,-0.1273720000
750000,2015-10-26 00:00:00Z,N1C 4BP,Flats/Maisonettes,New Build,Leasehold,"PLIMSOLL BUILDING, 1",APARTMENT S3-04,HANDYSIDE STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5374360000,-0.1273720000
765000,2015-11-09 00:00:00Z,N1C 4BP,Flats/Maisonettes,New Build,Leasehold,"PLIMSOLL BUILDING, 1",APARTMENT S7-04,HANDYSIDE STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5374360000,-0.1273720000
1010000,2015-11-02 00:00:00Z,N1C 4BQ,Flats/Maisonettes,New Build,Leasehold,"PLIMSOLL BUILDING, 1",APARTMENT F5-08,HANDYSIDE STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5374360000,-0.1273720000
1085000,2015-11-03 00:00:00Z,N1C 4BQ,Flats/Maisonettes,New Build,Leasehold,"PLIMSOLL BUILDING, 1",APARTMENT F5-11,HANDYSIDE STREET,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5374360000,-0.1273720000
45000,2015-11-17 00:00:00Z,N1C 4AZ,Other,New Build,Leasehold,"TAPESTRY APARTMENTS, 1 - 5",PARKING SPACE 35,CANAL REACH,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5375820000,-0.1284210000
45000,2015-11-02 00:00:00Z,N1C 4AZ,Other,New Build,Leasehold,"TAPESTRY APARTMENTS, 1 - 5",PARKING SPACE 52,CANAL REACH,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5375820000,-0.1284210000
